Month,Pay Code,Warning Issued,Incident / Problem,Action Taken,Status
Apr-26,365,Yes 1St Warning,Work Mistake and poor work quality,Rs.500 Penalty,Closed
Apr-26,234,Yes 1St Warning,Documents Missing,Warning Letter,Closed
Apr-26,234,Yes 1St Warning,Documents Missing,Warning Letter,Closed
May-26,257,Yes 1St Warning,Absent with out intimation,Warning Letter,Closed
Jul-26,273,Yes 1St Warning,Mistake to writing month on bag ,Penalty,Underprocess
,,,,,
,,,,,
,,,,,
,,,,,
June 2026,253,No,,,Clear
June 2026,169,No,,,Clear
June 2026,277,No,,,Clear
June 2026,254,No,,,Clear
June 2026,355,No,,,Clear
June 2026,63,No,,,Clear
June 2026,113,No,,,Clear
June 2026,144,No,,,Clear
June 2026,143,No,,,Clear
June 2026,132,No,,,Clear
June 2026,380,No,,,Clear
June 2026,199,No,,,Clear
June 2026,181,No,,,Clear
June 2026,223,No,,,Clear
June 2026,290,No,,,Clear
June 2026,307,No,,,Clear
June 2026,120,No,,,Clear
June 2026,361,No,,,Clear
June 2026,188,No,,,Clear
June 2026,279,No,,,Clear
June 2026,293,No,,,Clear
June 2026,298,No,,,Clear
June 2026,313,No,,,Clear
June 2026,319,No,,,Clear
June 2026,339,No,,,Clear
June 2026,352,No,,,Clear
June 2026,104,No,,,Clear
June 2026,353,No,,,Clear
June 2026,363,No,,,Clear
June 2026,100,No,,,Clear
June 2026,213,No,,,Clear
June 2026,259,No,,,Clear
June 2026,316,No,,,Clear
June 2026,326,No,,,Clear
June 2026,329,No,,,Clear
June 2026,338,No,,,Clear
June 2026,129,No,,,Clear
June 2026,209,No,,,Clear
June 2026,229,No,,,Clear
June 2026,226,No,,,Clear
June 2026,297,No,,,Clear
June 2026,160,No,,,Clear
June 2026,315,No,,,Clear
June 2026,351,No,,,Clear
June 2026,362,No,,,Clear
June 2026,368,No,,,Clear
June 2026,377,No,,,Clear
June 2026,379,No,,,Clear
June 2026,112,No,,,Clear
June 2026,384,No,,,Clear
June 2026,385,No,,,Clear
June 2026,371,No,,,Clear
June 2026,202,No,,,Clear
June 2026,299,No,,,Clear
June 2026,175,No,,,Clear
June 2026,75,No,,,Clear
June 2026,137,No,,,Clear
June 2026,157,No,,,Clear
June 2026,179,No,,,Clear
June 2026,183,No,,,Clear
June 2026,182,No,,,Clear
June 2026,228,No,,,Clear
June 2026,244,No,,,Clear
June 2026,245,No,,,Clear
June 2026,249,No,,,Clear
June 2026,251,No,,,Clear
June 2026,252,No,,,Clear
June 2026,270,No,,,Clear
June 2026,280,No,,,Clear
June 2026,305,No,,,Clear
June 2026,309,No,,,Clear
June 2026,306,No,,,Clear
June 2026,308,No,,,Clear
June 2026,312,No,,,Clear
June 2026,317,No,,,Clear
June 2026,318,No,,,Clear
June 2026,203,No,,,Clear
June 2026,323,No,,,Clear
June 2026,322,No,,,Clear
June 2026,321,No,,,Clear
June 2026,332,No,,,Clear
June 2026,330,No,,,Clear
June 2026,239,No,,,Clear
June 2026,333,No,,,Clear
June 2026,334,No,,,Clear
June 2026,347,No,,,Clear
June 2026,359,No,,,Clear
June 2026,369,No,,,Clear
June 2026,289,No,,,Clear
June 2026,376,No,,,Clear
June 2026,163,No,,,Clear
June 2026,374,No,,,Clear
June 2026,246,No,,,Clear
June 2026,39,No,,,Clear
June 2026,18,No,,,Clear
June 2026,62,No,,,Clear
June 2026,4,No,,,Clear
June 2026,64,No,,,Clear
June 2026,206,No,,,Clear
June 2026,95,No,,,Clear
June 2026,87,No,,,Clear
June 2026,88,No,,,Clear
June 2026,92,No,,,Clear
June 2026,151,No,,,Clear
June 2026,35,No,,,Clear
June 2026,34,No,,,Clear
June 2026,158,No,,,Clear
June 2026,168,No,,,Clear
June 2026,337,No,,,Clear
June 2026,340,No,,,Clear
June 2026,341,No,,,Clear
