Pay Code,Loan Type,Loan Status,Total Loan Amount,Loan Start Month,Balance Remaining,Monthly EMI Deduction,Extra Repayments,EMIs Remaining,Remarks
169,Employee Loan,Continue,600000,Apr-21,355000,15000,,,"EMI not Deduction untill May-2027, as discuss with Fvs"
253,Employee Loan,Finish,100000,Oct-24,0,5000,,,
323,Employee Loan,Continue,50000,Dec-24,40000,5000,,,
112,Employee Loan,Continue,100000,May-25,97000,1500,,,
100,Employee Loan,Continue,50000,Jun-25,30000,10000,,,
129,Employee Loan,Continue,100000,Sep-25,28000,8000,,,
306,Employee Loan,Continue,50000,Oct-25,2500,2500,,,
257,Employee Loan,Finish,20000,Oct-25,0,5000,,,
202,Employee Loan,Continue,30000,Oct-25,3000,3000,,,
315,Employee Loan,Finish,20000,Nov-25,0,3000,,,
330,Employee Loan,Continue,65000,Nov-25,41500,3500,,,
374,Employee Loan,Continue,87000,Dec-25,59000,4000,,,
246,Employee Loan,Continue,50000,Jan-25,25000,5000,,,
290,Employee Loan,Continue,100000,Jan-26,75000,5000,,,
104,Employee Loan,Continue,40000,Feb-26,32500,1500,,,
249,Employee Loan,Continue,30000,Feb-26,15000,3000,,,
297,Employee Loan,Finish,10000,Feb-26,0,2000,,,
209,Employee Loan,Continue,15000,Feb-26,5000,2000,,,
352,Employee Loan,Continue,30000,Mar-26,10000,5000,,,
223,Employee Loan,Continue,100000,Mar-26,80000,5000,,,
334,Employee Loan,Continue,30000,Apr-26,15000,5000,,,
273,Employee Loan,Continue,25000,Apr-26,16000,3000,,,
252,Employee Loan,Continue,25000,May-26,17000,3000,,,
206,Employee Loan,Continue,30000,May-26,24000,3000,,,
143,Employee Loan,Continue,150000,May-26,140000,5000,,,
213,Employee Loan,Continue,20000,May-26,10000,5000,,,
226,Employee Loan,Continue,15000,Jun-26,12000,3000,,,
317,Employee Loan,Continue,30000,Jul-26,30000,3000,,,
379,Employee Loan,Continue,20000,Jul-26,20000,3000,,,
