Month,Pay Code,Criterion,Rating,Evidence Reference,Improvement Action,Due Date,HOD Name
June 2026,253,Work Quality,Developing,Mock evidence from recorded HOD score: 8/15.,Review performance with supervisor and agree an improvement action.,15-Jul-2026,HOD_Scores_Laboratory_June_2026
June 2026,253,Productivity,Developing,Mock evidence from recorded HOD score: 8/15.,Review performance with supervisor and agree an improvement action.,15-Jul-2026,HOD_Scores_Laboratory_June_2026
June 2026,253,Teamwork,Developing,Mock evidence from recorded HOD score: 5/10.,Review performance with supervisor and agree an improvement action.,15-Jul-2026,HOD_Scores_Laboratory_June_2026
June 2026,253,Initiative,Developing,Mock evidence from recorded HOD score: 5/10.,Review performance with supervisor and agree an improvement action.,15-Jul-2026,HOD_Scores_Laboratory_June_2026
June 2026,188,Work Quality,Developing,Mock evidence from recorded HOD score: 10/15.,Review performance with supervisor and agree an improvement action.,15-Jul-2026,HOD_Scores_Laboratory_June_2026
June 2026,188,Productivity,Developing,Mock evidence from recorded HOD score: 10/15.,Review performance with supervisor and agree an improvement action.,15-Jul-2026,HOD_Scores_Laboratory_June_2026
June 2026,188,Teamwork,Below Expected,Mock evidence from recorded HOD score: 3/10.,Review performance with supervisor and agree an improvement action.,15-Jul-2026,HOD_Scores_Laboratory_June_2026
June 2026,188,Initiative,Below Expected,Mock evidence from recorded HOD score: 0/10.,Review performance with supervisor and agree an improvement action.,15-Jul-2026,HOD_Scores_Laboratory_June_2026
June 2026,279,Work Quality,Exceeds,Mock evidence from recorded HOD score: 15/15.,Continue current performance.,,HOD_Scores_Laboratory_June_2026
June 2026,279,Productivity,Exceeds,Mock evidence from recorded HOD score: 15/15.,Continue current performance.,,HOD_Scores_Laboratory_June_2026
June 2026,279,Teamwork,Exceeds,Mock evidence from recorded HOD score: 10/10.,Continue current performance.,,HOD_Scores_Laboratory_June_2026
June 2026,279,Initiative,Exceeds,Mock evidence from recorded HOD score: 10/10.,Continue current performance.,,HOD_Scores_Laboratory_June_2026
June 2026,293,Work Quality,Exceeds,Mock evidence from recorded HOD score: 15/15.,Continue current performance.,,HOD_Scores_Laboratory_June_2026
June 2026,293,Productivity,Meets,Mock evidence from recorded HOD score: 13/15.,Continue current performance.,,HOD_Scores_Laboratory_June_2026
June 2026,293,Teamwork,Meets,Mock evidence from recorded HOD score: 8/10.,Continue current performance.,,HOD_Scores_Laboratory_June_2026
June 2026,293,Initiative,Exceeds,Mock evidence from recorded HOD score: 9/10.,Continue current performance.,,HOD_Scores_Laboratory_June_2026
June 2026,298,Work Quality,Meets,Mock evidence from recorded HOD score: 12/15.,Continue current performance.,,HOD_Scores_Laboratory_June_2026
June 2026,298,Productivity,Exceeds,Mock evidence from recorded HOD score: 14/15.,Continue current performance.,,HOD_Scores_Laboratory_June_2026
June 2026,298,Teamwork,Exceeds,Mock evidence from recorded HOD score: 10/10.,Continue current performance.,,HOD_Scores_Laboratory_June_2026
June 2026,298,Initiative,Meets,Mock evidence from recorded HOD score: 8/10.,Continue current performance.,,HOD_Scores_Laboratory_June_2026
June 2026,313,Work Quality,Meets,Mock evidence from recorded HOD score: 13/15.,Continue current performance.,,HOD_Scores_Laboratory_June_2026
June 2026,313,Productivity,Meets,Mock evidence from recorded HOD score: 13/15.,Continue current performance.,,HOD_Scores_Laboratory_June_2026
June 2026,313,Teamwork,Exceeds,Mock evidence from recorded HOD score: 9/10.,Continue current performance.,,HOD_Scores_Laboratory_June_2026
June 2026,313,Initiative,Exceeds,Mock evidence from recorded HOD score: 10/10.,Continue current performance.,,HOD_Scores_Laboratory_June_2026
June 2026,319,Work Quality,Developing,Mock evidence from recorded HOD score: 10/15.,Review performance with supervisor and agree an improvement action.,15-Jul-2026,HOD_Scores_Laboratory_June_2026
June 2026,319,Productivity,Developing,Mock evidence from recorded HOD score: 10/15.,Review performance with supervisor and agree an improvement action.,15-Jul-2026,HOD_Scores_Laboratory_June_2026
June 2026,319,Teamwork,Meets,Mock evidence from recorded HOD score: 7/10.,Continue current performance.,,HOD_Scores_Laboratory_June_2026
June 2026,319,Initiative,Developing,Mock evidence from recorded HOD score: 5/10.,Review performance with supervisor and agree an improvement action.,15-Jul-2026,HOD_Scores_Laboratory_June_2026
June 2026,339,Work Quality,Meets,Mock evidence from recorded HOD score: 12/15.,Continue current performance.,,HOD_Scores_Laboratory_June_2026
June 2026,339,Productivity,Meets,Mock evidence from recorded HOD score: 12/15.,Continue current performance.,,HOD_Scores_Laboratory_June_2026
June 2026,339,Teamwork,Meets,Mock evidence from recorded HOD score: 8/10.,Continue current performance.,,HOD_Scores_Laboratory_June_2026
June 2026,339,Initiative,Developing,Mock evidence from recorded HOD score: 5/10.,Review performance with supervisor and agree an improvement action.,15-Jul-2026,HOD_Scores_Laboratory_June_2026
June 2026,352,Work Quality,Meets,Mock evidence from recorded HOD score: 11/15.,Continue current performance.,,HOD_Scores_Laboratory_June_2026
June 2026,352,Productivity,Meets,Mock evidence from recorded HOD score: 12/15.,Continue current performance.,,HOD_Scores_Laboratory_June_2026
June 2026,352,Teamwork,Meets,Mock evidence from recorded HOD score: 7/10.,Continue current performance.,,HOD_Scores_Laboratory_June_2026
June 2026,352,Initiative,Developing,Mock evidence from recorded HOD score: 5/10.,Review performance with supervisor and agree an improvement action.,15-Jul-2026,HOD_Scores_Laboratory_June_2026
June 2026,104,Work Quality,Exceeds,Mock evidence from recorded HOD score: 14/15.,Continue current performance.,,HOD_Scores_Laboratory_June_2026
June 2026,104,Productivity,Developing,Mock evidence from recorded HOD score: 10/15.,Review performance with supervisor and agree an improvement action.,15-Jul-2026,HOD_Scores_Laboratory_June_2026
June 2026,104,Teamwork,Developing,Mock evidence from recorded HOD score: 6/10.,Review performance with supervisor and agree an improvement action.,15-Jul-2026,HOD_Scores_Laboratory_June_2026
June 2026,104,Initiative,Below Expected,Mock evidence from recorded HOD score: 4/10.,Review performance with supervisor and agree an improvement action.,15-Jul-2026,HOD_Scores_Laboratory_June_2026
June 2026,353,Work Quality,Meets,Mock evidence from recorded HOD score: 12/15.,Continue current performance.,,HOD_Scores_Laboratory_June_2026
June 2026,353,Productivity,Developing,Mock evidence from recorded HOD score: 10/15.,Review performance with supervisor and agree an improvement action.,15-Jul-2026,HOD_Scores_Laboratory_June_2026
June 2026,353,Teamwork,Developing,Mock evidence from recorded HOD score: 6/10.,Review performance with supervisor and agree an improvement action.,15-Jul-2026,HOD_Scores_Laboratory_June_2026
June 2026,353,Initiative,Below Expected,Mock evidence from recorded HOD score: 4/10.,Review performance with supervisor and agree an improvement action.,15-Jul-2026,HOD_Scores_Laboratory_June_2026
June 2026,363,Work Quality,Below Expected,Mock evidence from recorded HOD score: 5/15.,Review performance with supervisor and agree an improvement action.,15-Jul-2026,HOD_Scores_Laboratory_June_2026
June 2026,363,Productivity,Below Expected,Mock evidence from recorded HOD score: 5/15.,Review performance with supervisor and agree an improvement action.,15-Jul-2026,HOD_Scores_Laboratory_June_2026
June 2026,363,Teamwork,Below Expected,Mock evidence from recorded HOD score: 3/10.,Review performance with supervisor and agree an improvement action.,15-Jul-2026,HOD_Scores_Laboratory_June_2026
June 2026,363,Initiative,Below Expected,Mock evidence from recorded HOD score: 2/10.,Review performance with supervisor and agree an improvement action.,15-Jul-2026,HOD_Scores_Laboratory_June_2026
June 2026,100,Work Quality,Meets,Mock evidence from recorded HOD score: 12/15.,Continue current performance.,,HOD_Scores_Laboratory_June_2026
